Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
ts (1).jpg,label1,15.209933335932321,28.008262197509595,15.209933335932321,12.73102827159527,0.999766094587766,0.9995692759481207,0.999766094587766,0.9998042163400548,0.05964679739581303,0.10983632234317489,0.05964679739581303,0.04992560106507949,0.005493508477868189,0.0064282132043776575,0.005493508477868189,0.00531255532620386,0.9988309473738454,0.9986301204224951,0.9988309473738454,0.9988649172310125,0.9994153027514865,0.9993148254791856,0.9994153027514865,0.9994322974724263,0.7498829907562697,0.5414512000835748,0.7498829907562697,0.7915687273107158
ts (10).jpg,label1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ts (100).jpg,label1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ts (101).jpg,label1,517.137733421699,827.5168376536926,476.5779111925461,684.9293210118254,0.9920472159840418,0.9872740621035633,0.9926709637499993,0.9894668390949493,2.027991111457643,3.245164069230167,1.8689329850688083,2.685997337301276,0.17018019885292068,0.18665835503122535,0.16764895607242034,0.17951187829445875,0.9350126001445459,0.9302036618059707,0.9357369063392238,0.9323454689340234,0.9669604956483724,0.964470664046331,0.9673349504381736,0.9655803793232459,0.8607141717805153,0.7776401622345264,0.8713905990091633,0.815954472741808
ts (102).jpg,label1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ts (103).jpg,label1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ts (104).jpg,label1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ts (105).jpg,label1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ts (106).jpg,label1,78.58465556898366,140.04131098754797,81.11964445830573,106.94063748140027,0.9987914887034572,0.9978463797406031,0.998752504468085,0.9983554172564605,0.30817511987836727,0.5491816117158743,0.3181162527776695,0.4193750489466677,0.025120042264100008,0.028925346265401476,0.025287880278061968,0.026997677534761677,0.9934274951473334,0.9924618727806335,0.9933886060609274,0.9929689846375374,0.9967083300280647,0.9962238065719136,0.9966888210775354,0.9964782911019875,0.7747564240708198,0.600369531359806,0.7674905022666525,0.6948276421293064
ts (107).jpg,label1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ts (108).jpg,label1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
